language,total_rows,disk_size_gb,memory_size_gb,compression_ratio,mean_line_count,mean_ast_nodes,mean_line_length,mean_node_density,mean_errors,zero_error_ratio
c,700818.0,10.440347642999999,53.774057178999996,5.15,61.75941114526168,404.9507375666721,28.08196764352514,6.242421328265502,9.021864449828628,42.104797536592955
c-sharp,705203.0,8.50418282,49.333884395,5.8,44.258180977675934,330.9952878816454,29.525119930005967,7.202283695107544,0.6422618735314513,97.02029061135588
cpp,707640.0,18.483812966000002,99.367563276,5.38,87.87500423944378,745.1700553953988,28.164076846984344,8.153169169768514,0.7251667514555423,88.72760160533605
go,700331.0,14.470563576,79.032448515,5.46,68.21702166546962,610.0533661939854,25.180739678809022,8.407058898417572,0.02527519130239844,99.29019278027104
java,711922.0,10.373706469,57.296923263,5.52,54.3968173479679,424.7358249920637,30.846528692750045,7.878947054727496,0.06722225187590776,99.34234368371816
javascript,687775.0,8.717001641,51.681409098,5.93,44.15429464577805,376.5608302133692,27.68791668787031,8.690275712241418,0.20391843262694923,96.95380029806259
python,706126.0,11.966761951,63.30320063,5.29,54.70159433302272,514.4231057913177,32.67346840365601,9.430313846082386,0.06193228970467027,98.63338837544575
ruby,703473.0,5.063073788,28.025096605,5.54,27.410405232325903,194.79638877398278,27.350513026086283,6.887782136774954,0.03164300548848357,99.04573452001712
scala,702833.0,10.306096523999999,55.29013083,5.36,44.381725103972066,398.8084737057025,35.30197455156488,9.081021445513286,0.3135951214584403,94.75465722298185
typescript,695597.0,7.589950076,42.413328527999994,5.59,36.89176922844693,321.30140009229484,29.18430953555003,8.917022036248932,2.5080930481298798,81.13476625114829
